id;symbol;name;current_price;market_cap;total_volume
bitcoin;btc;Bitcoin;90005.0;1788270600672;75012185379
ethereum;eth;Ethereum;2924.07;350548355147;27461336245
tether;usdt;Tether;1.0;184610953761;93352161776
ripple;xrp;XRP;2.1;126326870822;3995145437
binancecoin;bnb;BNB;863.02;118821518568;1879619359
usd-coin;usdc;USDC;0.999806;77377423250;5430980168
solana;sol;Solana;133.48;74343271750;5649894642
tron;trx;TRON;0.28021;26517589158;678445427
staked-ether;steth;Lido Staked Ether;2916.97;25069705563;85469953
dogecoin;doge;Dogecoin;0.14247;21604713768;1347415354
